,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Totals,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
73,Duquesne,30,13,17,0.433,0.66,1.03,,5,11,,6,8,,7,6,,73.3,73.7,,40,25,56.6,0.442,7.27,20,0.363,16,23.9,0.669,10.8,35.3,15.2,5.83,2.77,11,18
74,East Carolina,34,17,17,0.5,-4.08,-2.41,,5,11,,10,7,,3,10,,72.9,70.9,,40,23.8,53.9,0.441,8.5,23.1,0.368,16.8,23.5,0.713,10.4,33.7,13.5,6.32,3.15,11.7,17.3
75,East Tennessee State,35,19,16,0.543,-5.93,-6.08,,10,8,,14,6,,5,10,,76.8,76.1,,40.3,25.1,58.4,0.43,7.86,21.7,0.363,18.7,25.1,0.748,10.5,35.1,12.3,7.69,3.09,11.7,20
76,Eastern Illinois,30,11,19,0.367,-11.53,-4.21,,7,9,,7,7,,4,11,,67.7,73.5,,40,23.4,53.3,0.44,5.07,15.9,0.319,15.7,22,0.715,10.5,32.4,12,5.7,4.8,13.3,19.2
77,Eastern Kentucky ,34,24,10,0.706,0.6,-4.34,,11,5,,12,2,,8,6,,78.7,70.9,,40.1,25.9,53.2,0.487,9.26,23.7,0.39,17.6,23.5,0.752,7.15,26,14.6,8.79,1.97,10.6,20.8
78,Eastern Michigan,37,22,15,0.595,1.79,0.67,,10,8,,16,3,,4,11,,65.5,61.4,,40.4,22.2,54.2,0.409,5.05,16.4,0.309,16.1,23.7,0.678,11.1,35.2,10.6,8.27,5.97,11.3,18.3
79,Eastern Washington,31,15,16,0.484,-5.32,-4.15,,10,10,,10,4,,3,11,,76.2,75.1,,40.2,26.2,57.8,0.454,8.1,21.8,0.371,15.6,22.6,0.693,10.6,36.5,13.5,4.74,4.29,12,19.5
80,Elon,32,18,14,0.563,-4.02,-4.5,,11,5,,11,4,,7,6,,74.8,71.3,,40.3,26.2,55.9,0.468,8,21.3,0.375,14.4,20,0.723,9.06,33.9,13.8,5.03,2.91,12.1,18
81,Evansville,33,14,19,0.424,-3.12,1.2,,6,12,,10,7,,3,11,,69.4,72.2,,40.3,23.5,50.7,0.464,4.36,12.1,0.362,18.1,25.2,0.718,8.36,32,14.7,5.03,3.76,12.8,18.9
82,Fairfield,32,7,25,0.219,-7.37,-0.81,,4,16,,4,9,,2,13,,63.4,70,,40.2,21.8,54.8,0.398,6.88,20.6,0.333,13,19,0.685,11.1,35.4,11.3,4.41,3.66,14.7,22.9
83,FDU,31,10,21,0.323,-11.24,-4.07,,6,10,,6,6,,4,14,,69.6,76.1,,40.3,23.9,57,0.42,7.29,20.5,0.355,14.4,20,0.72,10.6,31.6,10.9,6.74,3.94,11.7,21.3
84,Florida ,39,36,3,0.923,20.69,8.54,,18,0,,17,0,,10,2,,69.9,57.8,,40,24.2,52.7,0.46,6.54,18.2,0.359,14.9,22.3,0.668,11.2,35.5,13.1,7.03,3.03,10.7,15.7
85,Florida A&M,32,14,18,0.438,-12.31,-7.58,,8,8,,9,3,,3,14,,71.3,74.1,,40.3,25.3,62.8,0.402,6.66,19.9,0.334,14.1,21.5,0.654,14.8,39.2,11.3,7.41,4.13,14.6,24
86,Florida Atlantic,32,10,22,0.313,-5.12,-0.42,,5,11,,7,8,,3,11,,66.3,68.5,,40,23.3,55,0.424,6.56,19.7,0.334,13,20.2,0.643,12.4,36.9,11.9,4.72,4.59,13,18.8
87,Florida Gulf Coast,35,22,13,0.629,-1.97,-5.76,,14,4,,16,2,,6,10,,71.5,66.8,,40.3,26.1,55.9,0.467,5.71,17.4,0.329,13.6,20.2,0.674,9.94,36.6,12.8,5.71,3.57,13.1,18.2
88,Florida International,31,15,16,0.484,-5.4,-1.58,,7,9,,9,6,,5,8,,68.6,70,,40.3,24.3,54.2,0.449,4.9,15.5,0.316,15.1,22.5,0.67,11.5,36.1,10.8,7.13,4.19,14.1,18.1
89,Florida State,36,22,14,0.611,12.63,8.13,,9,9,,12,5,,6,6,,70.9,66.4,,40.3,24.3,52,0.466,5.31,13.9,0.38,17.1,23.8,0.722,10.9,34.9,10.7,5.92,5.31,14.2,18.1
90,Fordham,31,10,21,0.323,-3.16,3.14,,2,14,,7,8,,2,12,,71.7,78,,40.2,24.6,62.6,0.393,7.1,23.2,0.306,15.4,20.9,0.733,14.5,37.2,12.2,6.68,4.06,11.4,19.9
91,Fresno State,39,21,18,0.538,3.59,3.75,,9,9,,13,6,,7,10,,72.7,70.5,,40.8,24.4,55.6,0.438,7.46,20.9,0.357,16.6,22.7,0.731,9.21,33.8,12.1,6.49,4.54,10.1,19.3
92,Furman,30,9,21,0.3,-17.44,-7.4,,3,13,,6,8,,3,12,,65.2,73.2,,40.2,22.7,51.3,0.442,5.47,16.4,0.333,14.4,21.1,0.681,8.97,31.3,9.6,4.9,2.83,13.6,17
93,Gardner-Webb,33,18,15,0.545,-7.33,-6.9,,10,6,,8,5,,7,9,,73.5,70,,41.2,25.7,57.4,0.447,5.3,15.6,0.339,16.8,24.5,0.686,12.2,35.8,15.1,7.64,3.15,12.3,18.4
94,George Mason,31,11,20,0.355,2.03,4.58,,4,12,,6,8,,4,8,,69.5,72,,40.5,24.4,55.5,0.44,4.94,14,0.352,15.8,22.3,0.709,11,34.6,10.9,5.26,3.48,13.6,20.9
95,George Washington ,33,24,9,0.727,10.6,4.42,,11,5,,14,1,,6,5,,73.2,67,,40.1,25.4,54.9,0.463,5.67,15.6,0.364,16.7,25.6,0.651,11.9,37.2,14,7.12,4.09,13,18
96,Georgetown,33,18,15,0.545,10.96,8.27,,8,10,,13,3,,2,9,,71,68.3,,40.3,24.3,52.8,0.46,5.45,16.5,0.331,17,23.6,0.721,10.2,33.4,13.1,6.06,4.27,11.7,22.1
97,Georgia,34,20,14,0.588,7.9,5.78,,12,6,,15,3,,4,7,,68.9,66.8,,40.3,22.6,51.2,0.441,4.91,14.1,0.349,18.9,27.7,0.682,11.8,37,10,5.09,4.65,13.1,18.8
98,Georgia Southern,34,15,19,0.441,-11.44,-8.6,,6,10,,7,6,,5,11,,70.8,70.4,,40.4,24.7,56.7,0.436,7.12,21.1,0.338,14.2,21.5,0.662,10.9,35.2,9.62,6.85,1.65,11.9,17.3
99,Georgia State,34,25,9,0.735,6.04,-2.56,,17,1,,13,0,,10,7,,77.7,68.5,,40.6,26.5,56.6,0.468,7.41,19.8,0.375,17.3,22.3,0.778,8.12,31.6,13.3,7.65,4.91,7.88,17.3
100,Georgia Tech,33,16,17,0.485,5.12,5.24,,6,12,,10,7,,5,7,,66.7,66.8,,40.5,24.1,56,0.431,5.24,16.6,0.315,13.2,19.3,0.684,11.3,36,13.2,5.18,4.24,12.1,17.8
101,Gonzaga ,36,29,7,0.806,15.56,5.36,,15,3,,15,0,,8,4,,76.7,65.9,,39.5,27,54.5,0.495,7.08,17.9,0.397,15.6,22,0.709,9.53,35.9,14.6,6.53,3.94,11.6,18.3
102,Grambling,29,5,24,0.172,-24.61,-9.05,,3,15,,3,8,,1,15,,65.6,79.9,,40,22.3,54.3,0.411,6.17,19.1,0.323,14.8,22.2,0.667,11,31.2,10.4,6.1,2.07,14.9,19.2
103,Grand Canyon,30,15,15,0.5,-6.4,-3.51,,10,6,,8,4,,5,9,,72.1,71.7,,40.2,22.4,51.6,0.433,6.87,19.6,0.35,20.5,27.7,0.74,9.47,35.2,12.9,4.03,2.7,12.7,20.1
104,Green Bay,31,24,7,0.774,7.18,0.11,,14,2,,13,4,,9,2,,74.3,64.5,,40.3,26.2,55.3,0.474,4.84,13.7,0.354,17,24.2,0.703,11.2,36.7,15.3,7.16,7.19,12.7,16.8
105,Hampton,31,18,13,0.581,-5.17,-7.91,,13,4,,9,3,,8,7,,73,70.2,,41.1,24.1,57.5,0.419,5.52,17.2,0.32,19.3,29.3,0.657,12.7,37.8,11.8,7.55,5.94,14.7,23.7
106,Hartford,33,17,16,0.515,-6.63,-6.18,,10,6,,9,3,,7,9,,65.5,66,,40.2,22.2,48.3,0.459,8.03,21.3,0.376,13.2,18.8,0.703,6.97,27.5,12.2,5.61,2.06,13.9,19.2
107,Harvard ,32,27,5,0.844,10.79,-0.47,,13,1,,11,1,,11,3,,73.2,61,,40.6,24.6,52.8,0.465,5.75,14.9,0.385,18.3,25.3,0.724,10.5,34.1,14,7.59,4.84,11.4,17.7
108,Hawaii,31,20,11,0.645,3.43,-1.68,,9,7,,14,5,,6,4,,80,73.2,,40.5,27.9,59,0.473,5.71,17,0.335,18.4,25.5,0.722,12.7,35.9,14.1,6.13,3.55,11.8,19.5
109,High Point,31,16,15,0.516,-8.23,-5.23,,12,4,,10,3,,6,11,,71.1,72.7,,40.2,25.8,54.8,0.472,6.03,15.6,0.386,13.4,18,0.742,9.65,31.8,14.7,5.94,3.48,12,17.2
110,Hofstra,33,10,23,0.303,-6.56,-1.89,,5,11,,7,8,,1,13,,68.5,73.2,,40.2,22.7,54.2,0.419,6.94,20.8,0.334,16.1,24.4,0.659,12.7,36.2,10.8,4.82,3.21,12.3,19.6
111,Holy Cross,34,20,14,0.588,-1.58,-3.28,,12,6,,8,5,,10,7,,67,65.3,,40.3,22.7,52.8,0.43,6.38,18.1,0.353,15.2,20.8,0.732,9.94,32.9,11.4,6.09,3.97,11.7,17
